Carrier Code,Flight Number,Departure Airport,Arrival Airport,Scheduled Departure Date,Aircraft Type,Estimated FuelBurn(T),Estimated co2 (T)
XH,7085,YYC,YXE,1/23/2024,73W,2.281,7.207
XH,2279,PHL,ATL,1/21/2024,32B,5.385,17.016
XH,9089,SFO,MSP,1/18/2024,73J,8.373,26.46
XH,6997,GRU,LIM,1/26/2024,32N,8.413,26.586
XH,9797,SLC,PSP,1/26/2024,E75,2.125,6.714
XH,7679,NRT,ICN,1/22/2024,77W,21.608,68.28
XH,9926,ATL,SDF,1/13/2024,717,2.279,7.2
XH,9980,ECP,ATL,1/26/2024,73J,2.22,7.014
XH,6056,SCL,JFK,1/15/2024,788,47.743,150.868
XH,9777,SLC,MKE,1/18/2024,320,6.463,20.422
XH,2286,JFK,ATL,1/17/2024,75W,7.423,23.456
XH,7677,UBN,ICN,1/13/2024,333,16.519,52.201
XH,2800,RDU,ATL,1/29/2024,75W,3.598,11.37
XH,5960,CHS,LGA,1/24/2024,CR9,2.484,7.848
XH,952,SMF,ATL,1/23/2024,73J,10.454,33.032
XH,2909,JFK,BOS,1/20/2024,221,1.705,5.389
XH,5968,TLH,ATL,1/18/2024,CR9,1.43,4.518
XH,9989,ATL,BZE,1/27/2024,73J,6.907,21.828
XH,5979,ATL,GSO,1/31/2024,CR9,1.582,5
XH,67,AKL,LAX,1/18/2024,359,58.341,184.359
XH,5927,SHV,ATL,1/18/2024,CR9,2.303,7.276
XH,9679,OMA,SLC,1/30/2024,E7W,3.667,11.588
XH,9099,MSP,DCA,1/31/2024,319,4.904,15.494
XH,9727,DTW,BWI,1/20/2024,73J,3.041,9.61
XH,577,IAD,SEA,1/19/2024,223,8.397,26.536
XH,6970,GRU,MCZ,1/17/2024,32Q,6.292,19.882
XH,9887,MOB,ATL,1/19/2024,CR9,1.567,4.952
XH,5997,FWA,ATL,1/26/2024,CR9,2.585,8.17
XH,9079,RSW,DTW,1/28/2024,32B,7.412,23.421
XH,7757,PVG,CAN,1/25/2024,32B,6.868,21.703
XH,969,DTW,LAS,1/21/2024,73J,10.533,33.283
XH,2979,DTW,PHX,1/21/2024,75T,15.894,50.226
XH,6756,MAD,PMI,1/22/2024,73H,2.585,8.167
XH,6909,GRU,MAO,1/29/2024,32Q,8.773,27.724
XH,7999,ICN,CGK,1/29/2024,77W,56.575,178.775
XH,6979,BPS,GRU,1/14/2024,320,4.332,13.689
XH,5922,LHR,JFK,1/23/2024,351,45.818,144.784
XH,9987,ICT,ATL,1/13/2024,73H,4.079,12.889
XH,2299,DAB,ATL,1/29/2024,73J,2.849,9.004
XH,9997,ATL,AUS,1/16/2024,32B,7.587,23.974
XH,2559,JFK,PBI,1/30/2024,73J,6.704,21.186
XH,8999,MTY,ATL,1/25/2024,E90,4.982,15.744
XH,9756,GVA,AMS,1/14/2024,E7W,2.277,7.196
XH,9095,TPA,DTW,1/18/2024,75T,9.53,30.114
XH,7999,MEX,MCO,1/19/2024,7M8,5.859,18.515
XH,9652,DTW,YUL,1/23/2024,E7W,2.187,6.908
XH,986,DTW,LAS,1/30/2024,753,16.207,51.215
XH,5722,BOS,LGA,1/23/2024,E75,1.28,4.044
XH,7865,ICN,PQC,1/30/2024,333,35.82,113.192
XH,6225,NAT,GRU,1/24/2024,321,9.479,29.955
XH,9785,DTW,HPN,1/20/2024,CR9,2.404,7.597
XH,6759,MAD,BIO,1/17/2024,73H,1.928,6.093
XH,2950,ATL,IND,1/23/2024,73J,2.88,9.102
XH,8052,MID,MEX,1/19/2024,7S8,4.514,14.263
XH,9075,DTW,RDU,1/14/2024,717,2.713,8.572
XH,5666,IND,BOS,1/25/2024,E75,2.612,8.254
XH,6002,CWB,GRU,1/28/2024,32B,2.73,8.626
XH,6879,FLL,YYZ,1/20/2024,7S8,7.158,22.618
XH,2989,HOU,ATL,1/26/2024,717,3.518,11.118
XH,759,MSP,PSP,1/28/2024,32B,12.725,40.211
XH,979,SAN,DTW,1/19/2024,32B,11.376,35.948
XH,6950,GRU,SCL,1/26/2024,32B,11.749,37.127
XH,902,DTW,SAN,1/19/2024,32B,13.812,43.645
XH,7607,COR,EZE,1/20/2024,E90,2.258,7.136
XH,2796,FLL,ATL,1/26/2024,75W,5.073,16.032
XH,5077,CHS,LGA,1/30/2024,CR9,2.93,9.26
XH,762,BOS,LAX,1/30/2024,75W,19.823,62.642
XH,2957,LAS,LAX,1/27/2024,32B,2.805,8.864
XH,5879,LGA,RDU,1/15/2024,E70,2.308,7.293
XH,9229,VCE,AMS,1/29/2024,E90,3.382,10.689
XH,9796,MCO,ATL,1/24/2024,75W,4.218,13.328
XH,2599,ATL,SAV,1/16/2024,717,1.752,5.538
XH,2997,EWR,ATL,1/14/2024,717,4.559,14.407
XH,797,SNA,ATL,1/14/2024,75W,11.465,36.228
XH,6779,XNN,PVG,1/26/2024,320,7.106,22.454
XH,2099,JFK,TPA,1/27/2024,73J,6.345,20.048
XH,5279,ATL,ABE,1/22/2024,CR9,2.873,9.08
XH,7866,TPE,ICN,1/17/2024,77W,18.053,57.049
XH,9079,SJC,SLC,1/26/2024,223,2.566,8.109
XH,9290,AES,AMS,1/29/2024,E7W,2.954,9.332
XH,5690,BOS,IND,1/18/2024,E75,3.51,11.091
XH,7902,SLC,CPR,1/24/2024,CR9,1.372,4.336
XH,6069,SCL,MIA,1/26/2024,788,38.556,121.838
XH,7597,AMS,SVQ,1/25/2024,73H,6.722,21.242
XH,2067,ATL,PVD,1/24/2024,320,4.839,15.292
XH,9522,ATL,GEG,1/13/2024,73H,11.977,37.847
XH,8570,CDG,BUD,1/22/2024,320,4.321,13.657
XH,808,MCO,ATL,1/20/2024,752,4.108,12.982
XH,9928,MBJ,ATL,1/27/2024,32B,9.923,31.358
XH,567,RDU,LAX,1/27/2024,73J,12.804,40.46
XH,9709,FLL,BOS,1/27/2024,32B,8.22,25.975
XH,9992,TPA,SLC,1/21/2024,73J,11.238,35.514
XH,9920,BOI,SLC,1/25/2024,319,2.136,6.749
XH,9690,LAX,MSP,1/31/2024,739,8.613,27.216
XH,9879,SXM,ATL,1/30/2024,757,15.516,49.031
XH,9955,DTW,HPN,1/15/2024,CR9,2.127,6.721
XH,7576,NBO,JFK,1/27/2024,788,71.196,224.98
XH,5056,PVD,DTW,1/25/2024,CR9,3.236,10.227
XH,9509,HOU,ATL,1/16/2024,717,3.144,9.935
XH,6979,GRU,THE,1/16/2024,320,7.378,23.314
XH,9596,MSP,FLL,1/21/2024,32B,8.87,28.028
XH,7559,ACC,ROB,1/22/2024,73H,4.402,13.911
XH,7992,CGK,ICN,1/22/2024,77W,52.153,164.804
XH,9990,YYC,AMS,1/18/2024,772,53.7,169.692
XH,2959,MCO,DCA,1/23/2024,320,4.747,15.001
XH,8995,CDG,LAX,1/13/2024,77W,88.24,278.84
XH,2920,CLT,ATL,1/28/2024,717,2.05,6.477
XH,7955,MGM,ATL,1/20/2024,CR7,1.053,3.328
XH,5759,PIT,JFK,1/22/2024,E75,1.801,5.692
XH,707,ATL,CLT,1/30/2024,717,1.702,5.378
XH,9775,DEN,DTW,1/20/2024,32B,7.41,23.415
XH,9778,SEA,YVR,1/24/2024,E7W,1.082,3.419
XH,5997,CLE,LGA,1/13/2024,CR9,2.081,6.577
XH,8799,CDG,BER,1/25/2024,223,2.197,6.941
XH,7999,LGA,STL,1/17/2024,CR9,5.286,16.705
XH,8799,STR,CDG,1/21/2024,E90,2.228,7.04
XH,2972,ATL,ROA,1/15/2024,717,2.464,7.788
XH,2597,ATL,MYR,1/20/2024,717,1.776,5.613
XH,2896,MIA,ATL,1/27/2024,75W,6.02,19.024
XH,2628,PBI,LGA,1/17/2024,32B,7.367,23.278
XH,9762,BOS,AUA,1/26/2024,73J,10.514,33.226
XH,6799,UIO,CUE,1/22/2024,319,1.678,5.302
XH,9909,ATL,OMA,1/18/2024,73H,5.716,18.063
XH,8796,CDG,DUS,1/27/2024,E90,1.918,6.063
XH,8995,CDG,IST,1/23/2024,223,4.555,14.395
XH,820,SAN,SLC,1/19/2024,32B,4.897,15.476
XH,757,ATL,PHX,1/29/2024,764,18.973,59.954
XH,5990,GSO,DTW,1/24/2024,CR9,2.142,6.768
XH,9079,MEX,SLP,1/31/2024,7M8,2.129,6.729
XH,269,CDG,JFK,1/24/2024,339,43.08,136.133
XH,9879,SLC,TWF,1/19/2024,E7W,1.181,3.733
XH,9695,IAD,ATL,1/16/2024,717,3.347,10.578
XH,6962,GRU,CGB,1/19/2024,32B,6.186,19.549
XH,759,MCO,LAX,1/13/2024,32Q,11.58,36.594
XH,9059,SNA,SLC,1/22/2024,319,3.509,11.087
XH,698,BOS,ATL,1/17/2024,32Q,5.61,17.725
XH,8066,CUL,MEX,1/26/2024,7S8,3.64,11.501
XH,2829,DTW,BDL,1/18/2024,717,4.911,15.518
XH,9206,TPA,DTW,1/29/2024,32B,7.917,25.016
XH,5968,DTW,CLE,1/30/2024,CR9,0.963,3.042
XH,9750,SEA,BOI,1/22/2024,E7W,1.872,5.917
XH,2588,MSP,EWR,1/21/2024,717,4.739,14.976
XH,2969,ATL,BNA,1/27/2024,73J,1.97,6.225
XH,6679,SUF,FCO,1/30/2024,32N,1.824,5.764
XH,2280,SEA,LAS,1/21/2024,73H,5.403,17.072
XH,5787,DTW,ORD,1/22/2024,E75,1.63,5.15
XH,6778,MAD,TFN,1/28/2024,73H,6.749,21.329
XH,9699,PHL,SLC,1/29/2024,32B,13.501,42.665
XH,9760,MSN,MSP,1/24/2024,E7W,1.466,4.632
XH,6995,SDU,GRU,1/22/2024,319,2.044,6.46
XH,2797,ATL,ECP,1/23/2024,73J,2.127,6.723
XH,9879,SLC,TWF,1/30/2024,E7W,1.073,3.392
XH,709,OMA,MSP,1/29/2024,319,2.168,6.85
XH,9559,LGA,FLL,1/23/2024,32B,8.162,25.791
XH,8279,PRG,CDG,1/30/2024,320,4.022,12.708
XH,5792,FAR,MSP,1/19/2024,CR9,1.407,4.445
XH,9777,LGA,MCI,1/26/2024,E7W,5.009,15.829
XH,8089,CUN,MEX,1/14/2024,73H,5.49,17.348
XH,7952,PIT,MSP,1/18/2024,CR9,3.115,9.842
XH,7997,LGA,MKE,1/28/2024,CR9,3.15,9.953
XH,7999,SIN,ICN,1/14/2024,77W,47.398,149.779
XH,9209,ATL,TUL,1/13/2024,717,4.082,12.899
XH,9897,MOT,MSP,1/14/2024,E7W,2.085,6.588
XH,9629,ATL,GPT,1/21/2024,717,2.24,7.078
XH,2295,MIA,LGA,1/19/2024,32B,7.32,23.131
XH,9796,ATL,JAN,1/22/2024,717,2.3,7.267
XH,995,SEA,TPA,1/15/2024,73H,11.76,37.16
XH,9967,RSW,DTW,1/15/2024,32B,8.903,28.135
XH,9065,PBI,DTW,1/20/2024,320,6.68,21.11
XH,2295,SEA,PDX,1/23/2024,73H,1.556,4.916
XH,9607,AMS,BCN,1/28/2024,73H,4.545,14.364
XH,9205,GNV,ATL,1/23/2024,717,2.318,7.325
XH,2098,LGA,MCO,1/28/2024,32B,8.065,25.484
XH,8590,BER,CDG,1/28/2024,223,2.326,7.349
XH,8298,BHX,CDG,1/21/2024,E90,2.167,6.847
XH,6988,NVT,GRU,1/21/2024,32N,1.767,5.583
XH,6775,MAD,MIA,1/30/2024,789,44.926,141.967
XH,89,CDG,SEA,1/20/2024,333,60.848,192.279
XH,9685,JFK,MCO,1/18/2024,32B,9.355,29.561
XH,969,BCN,JFK,1/17/2024,333,51.999,164.318
XH,9989,AMS,BER,1/19/2024,73H,2.771,8.757
XH,9909,GUA,LAX,1/22/2024,75W,18.312,57.867
XH,8009,MEX,SFO,1/31/2024,7M8,9.615,30.384
XH,2979,DTW,PHL,1/26/2024,717,2.527,7.986
XH,99,LHR,MSP,1/24/2024,332,53.659,169.562
XH,2507,ATL,TLH,1/18/2024,73H,2.013,6.362
XH,7098,LAX,SAN,1/31/2024,E7W,0.935,2.954
XH,2862,OKC,ATL,1/25/2024,717,4.091,12.928
XH,8999,MEX,TPQ,1/31/2024,E90,2.497,7.892
XH,2888,LGA,BOS,1/19/2024,221,1.462,4.619
XH,7990,YVR,LAS,1/24/2024,7S8,5.917,18.698
XH,9967,RSW,DTW,1/29/2024,32B,8.735,27.601
XH,5805,LGA,OMA,1/29/2024,E70,3.828,12.096
XH,2099,TPA,JFK,1/14/2024,73J,5.538,17.5
XH,772,MSP,SAT,1/31/2024,223,3.757,11.874
XH,9975,ATL,SJD,1/19/2024,73J,10.069,31.815
XH,6069,BOS,GRU,1/13/2024,789,45.71,144.445
XH,6799,CNF,GRU,1/17/2024,32B,3.136,9.91
XH,5906,RDU,DCA,1/19/2024,CR9,1.407,4.446
XH,2980,JFK,TPA,1/14/2024,73J,7.18,22.687
XH,6260,NVT,GRU,1/25/2024,32N,1.767,5.583
XH,9887,IDA,SLC,1/23/2024,E7W,1.271,4.016
XH,5609,OMA,LGA,1/26/2024,E70,3.655,11.55
XH,6997,YVR,YYC,1/15/2024,7S8,3.051,9.642
XH,5790,MSP,CVG,1/23/2024,CR9,2.416,7.634
XH,570,MIA,LAX,1/29/2024,73J,14.799,46.766
XH,2629,DTW,JAX,1/18/2024,32B,6.388,20.186
XH,5778,LGA,PIT,1/27/2024,E75,1.84,5.814
